공급처,원재료명,컬러,단가,사용품목
"아이피씨㈜_롯데","TP1020-FW0041","W/H","4520","HIGH BCALL KNOB, HIGH DOOR KNOB, HIGH ECALL COVER(RED), HIGH ECALL KNOB(RED), HIGH ROOM KNOB, PA2 HIGH BCALL KNOB, BCALL KNOB, HIGH DOOR KNOB, HIGH ROOM KNOB, LOW DOOR KNOB, LOW ROOM KNOB, BCALL KNOB, HIGH DOOR KNOB, HIGH ROOM KNOB, LOW DOOR KNOB, LOW ROOM KNOB"
"아이피씨㈜_롯데","LT1220-F44427","RED","3300","HIGH ECALL KNOB(RED)"
"㈜삼양사","3025U-EA3434V0P","RED","3300","HIGH ECALL COVER(RED), ECALL COVER (RED)"
"㈜삼양사","KTP3022L1-01","CLEAR","3260","LENS HIGH (투명)"
"㈜삼양사","3025U-3438EYP","GRAY","4520","BCALL KNOB, HIGH DOOR KNOB, HIGH ROOM KNOB, LOW DOOR KNOB, LOW ROOM KNOB"
"㈜삼양사","3025U-3438L0P","GRAY","3450","MAKE UP BEZEL"
"㈜삼양사","3025U-3432AXP","W/H","3300","3SPOT"
"㈜삼양사","3025LD-EA3438EGP","S/M","3300","LH(GR), RH(GR)"
"㈜삼양사","3025U(3432BZ)","W/H","3300","LH(WH), RH(W/H)"
"㈜삼양사","3022LD_EA3242L0P","W/H","5060","COVER"
"MAKROLON","M2407 020090","W/H","6590","P-button"
"일광티이씨","LUPOY HR5007A","BK","5500","PARK GUIDE"
"이엠씨 폴리","LS2-111","CLEAR","5220","LIGHT LENS"